COC(=O)O	000	methyl hydrogen carbonate
c1cnc(nc1)N	LGA	pyrimidin-2-amine
Cc1c(ccc(c1Cl)C#N)N=C2N3CCC(C3C(O2)C(F)(F)F)O	LGB	2-chloro-4-{[(1r,3z,7s,7as)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1h-pyrrolo[1,2-c][1,3]oxazol-3-ylidene]amino}-3-met
hylbenzonitrile
C(C1C(C(C(C(=O)O1)O)O)O)O	LGC	d-glucono-1,5-lactone
c1cc2c(cc1N(CC(F)(F)F)CC(F)(F)F)C(=CC(=O)N2)C(F)(F)F	LGD	6-[bis(2,2,2-trifluoroethyl)amino]-4-(trifluoromethyl)quinolin-2(1h)-one
Cc1c(c(c2c(n1)C(=O)N(C2)CC(=O)OC)c3ccc(cc3Cl)Cl)CN	LGE	methyl [3-(aminomethyl)-4-(2,4-dichlorophenyl)-2-methyl-7-oxo-5,7-dihydro-6h-pyrrolo[3,4-b]pyridin-6-yl]acetate
COc1c(cc2c(c[nH]c2n1)C(=O)C(=O)N3CCC(C3)O)C(=O)N4CCn5c(cnc5c6ccc(cc6F)F)C4	LGF	1-[5-[[3-[2,4-bis(fluoranyl)phenyl]-6,8-dihydro-5~{h}-imidazo[1,5-a]pyrazin-7-yl]carbonyl]-6-methoxy-1~{h}-pyrrolo[2,3-b]pyridin-3-yl]-2-[(3~{r})-3-oxidanylpyrrolidin-1-yl]ethane-1,2-dione
CC(C)CC(C(=O)NC(CCC(=O)N)CCC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)O)NC(=O)C	LGG	n-acetyl-l-alpha-glutamyl-l-phenylalanyl-l-glutaminyl-n-[(1s)-4-amino-1-(2-carboxyethyl)-4-oxobutyl]-l-leucinamide
Cc1c(c(no1)c2ccccc2OC)C(=O)N3CCN(CC3)c4ccc(cc4Cl)[N+](=O)[O-]	LGH	[4-(2-chloro-4-nitrophenyl)piperazin-1-yl][3-(2-methoxyphenyl)-5-methyl-1,2-oxazol-4-yl]methanone
CS(=O)(=O)c1ccccc1c2ccc(c(c2)F)NC(=O)c3cc(nn3c4cccc(c4)C5=NNC(=O)N5)C(F)(F)F	LGJ	n-(3-fluoro-2'-(methylsulfonyl)biphenyl-4-yl)-1-(3-(5-oxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)phenyl)-3-(trifluoromethyl)-1h-pyrazole-5-carboxamide
CS(=O)(=O)c1ccccc1c2ccc(cc2)N3CCc4c(n(nc4C(F)(F)F)c5cccc(c5)C6=NNC(=O)N6)C3=O	LGK	6-(2'-(methylsulfonyl)biphenyl-4-yl)-1-(3-(5-oxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)phenyl)-3-(trifluoromethyl)-5,6-dihydro-1h-pyrazolo[3,4-c]pyridin-7(4h)-one
c1ccc(c(c1)CN2CCCC2)c3ccc(cc3)N4CCc5c(n(nc5C(F)(F)F)c6cccc(c6)C7=NNC(=O)N7)C4=O	LGL	1-(3-(5-oxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)phenyl)-6-(2'-(pyrrolidin-1-ylmethyl)biphenyl-4-yl)-3-(trifluoromethyl)-5,6-dihydro-1h-pyrazolo[3,4-c]pyridin-7(4h)-one
Cc1c2c(n(n1)c3cccc(c3)C4=NNC(=O)N4)C(=O)N(CC2)c5ccc(cc5)c6ccccc6CN7CCCC7	LGM	3-methyl-1-(3-(5-oxo-4,5-dihydro-1h-1,2,4-triazol-3-yl)phenyl)-6-(2'-(pyrrolidin-1-ylmethyl)biphenyl-4-yl)-5,6-dihydro-1h-pyrazolo[3,4-c]pyridin-7(4h)-one
CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)O)O)C(C=CCCCCCCCCCCCCC)O	LGN	n-[(2s,3r,4e)-1-{[alpha-d-galactopyranosyl-(1->3)-beta-d-galactopyranosyl-(1->4)-beta-d-glucopyranosyl]oxy}-3-hydroxyoctadec-4-en-2-yl]hexacosanamide
c1nc2c(n1COC(CO)COP(=O)(O)O)N=C(NC2=O)N	LGP	n9-1-hydroxy-prop-2-oxymethyl-guanine-3'-monophosphate
c1ccc(cc1)c2nc(c3c(n2)[nH]nc3Nc4ccc(cc4)C(F)(F)F)N	LGQ	6-phenyl-~{n}3-[4-(trifluoromethyl)phenyl]-1~{h}-pyrazolo[3,4-d]pyrimidine-3,4-diamine
CCCCCCCCN=C1N2C(CO1)C(C(C(C2O)O)O)O	LGS	(3z,5s,6r,7s,8r,8ar)-3-(octylimino)hexahydro[1,3]oxazolo[3,4-a]pyridine-5,6,7,8-tetrol
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O	LGT	l-glucaric acid
C1(C(C(OC(C1O)O)C(=O)O)O)O	LGU	alpha-l-gulopyranuronic acid
c1cc2c(nc(nn2c1)CNC(=O)c3ccc(nc3)F)Nc4cc(n[nH]4)C5CC5	LGV	n-({4-[(3-cyclopropyl-1h-pyrazol-5-yl)amino]pyrrolo[2,1-f][1,2,4]triazin-2-yl}methyl)-6-fluoropyridine-3-carboxamide
c1cc2c(nc(nn2c1)C3CCCN3C(=O)c4ccc(nc4)F)Nc5cc([nH]n5)C6CC6	LGW	n-(5-cyclopropyl-1h-pyrazol-3-yl)-2-{(2s)-1-[(6-fluoropyridin-3-yl)carbonyl]pyrrolidin-2-yl}pyrrolo[2,1-f][1,2,4]triazin-4-amine
c1cc2c(nc(nn2c1)C3CCCN3C(=O)c4ccc(nc4)F)Nc5cc([nH]n5)C6CC6	LGX	n-(5-cyclopropyl-1h-pyrazol-3-yl)-2-{(2r)-1-[(6-fluoropyridin-3-yl)carbonyl]pyrrolidin-2-yl}pyrrolo[2,1-f][1,2,4]triazin-4-amine
C(CCN=CCCC=O)CC(C(=O)O)N	LGY	(e)-n~6~-(4-oxobutylidene)-l-lysine
c1ccc(cc1)CC(C(CC2(C(=O)C(=CN2)C3c4ccccc4CC3OC(=O)N)Cc5ccccc5)O)NC(=O)OC6CCOC6	LGZ	carbamic acid 1-{5-benzyl-5-[2-hydroxy-4-phenyl-3-(tetrahydro-furan-
3-yloxycarbonylamino)-butyl]-4-oxo-4,5-dihydro-1h-pyrrol-3-yl}- indan-2-yl ester
B1(c2ccccc2CC(O1)CNc3ccc(cc3)C(=N)N)O	LH2	4-[[(3~{s})-1-oxidanyl-3,4-dihydro-2,1-benzoxaborinin-3-yl]methylamino]benzenecarboximidamide
COC(=O)c1ccc(cc1)c2cccc(c2NNC(=O)CCCCC3C4C(CS3)NC(=O)N4)c5ccc(cc5)C(=O)OC	LH3	methyl 4-(2-{5-[(3as,4s,6ar)-2-oxo-hexahydro-1h- thieno[3,4-d]imidazolidin-4-yl]pentanehydrazido}-3- [4-(methoxycarbonyl)phenyl]phenyl)benzoate
c1cc(c(c(c1)c2ccc(cc2)S(=O)(=O)N3CCOCC3)NNC(=O)CCCCC4C5C(CS4)NC(=O)N5)c6ccc(cc6)S(=O)(=O)N7CCOCC7	LH4	5-[(3as,4s,6ar)-2-oxo-hexahydro-1h-thieno[3,4- d]imidazolidin-4-yl]-n'-{2,6-bis[4-(morpholine-4- sulfonyl)phenyl]phenyl}pentanehydrazide
B1(c2ccccc2CC(O1)c3ccc(c(c3)OCc4cccnc4)C(=N)N)O	LH5	4-[(3~{s})-1-oxidanyl-3,4-dihydro-2,1-benzoxaborinin-3-yl]-2-(pyridin-3-ylmethoxy)benzenecarboximidamide
Cc1c(cnn1C2CCS(=O)(=O)C2)C(=O)NCc3ccc(cc3)F	LH7	1-[(3s)-1,1-dioxo-1lambda~6~-thiolan-3-yl]-n-[(4-fluorophenyl)methyl]-5-methyl-1h-pyrazole-4-carboxamide
B1(c2ccccc2CC(O1)c3ccc(cc3)C(=N)N)O	LH8	4-[(3~{s})-1-oxidanyl-3,4-dihydro-2,1-benzoxaborinin-3-yl]benzenecarboximidamide
c1ccc(cc1)CCNCCOC2C(C(OC2OC3C(C(CC(C3OC4C(C(C(C(O4)CO)O)O)N)N)NC(=O)C(CCN)O)O)CO)OC5C(C(C(C(O5)CN)O)O)N	LHA	doubly functionalized paromomycin pm-ii-162
COCN1C=C(C(=NC1=O)N)CNCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O	LHB	5-[[[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methylamino]methyl]-4-azanyl-1-(methoxymethyl)pyrimidin-2-one
C1=CN(C(=O)N=C1N)CCC(C(=O)O)N	LHC	(2s)-2-amino-4-(4-amino-2-oxopyrimidin-1(2h)-yl)butanoic acid
COCN1C=C(C(=NC1=O)N)C[NH2+]CCC2C(C(C(O2)n3cnc4c3ncnc4N)O)O	LHD	2-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethyl-[[4-azanyl-1-(methoxymethyl)-2-oxidanylidene-pyrimidin-5-yl]methyl]azanium
CCCC(C(=O)O)NCC(C(CC(C)C)N)O	LHE	n-[(2r,3s)-3-amino-2-hydroxy-5-methylhexyl]-l-norvaline
c1cc(ccc1OCCN2C=C(C(=NC2=O)N)CNCCC3C(C(C(O3)n4cnc5c4ncnc5N)O)O)Br	LHF	5-[[2-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]ethylamino]methyl]-4-azanyl-1-[2-(4-bromanylphenoxy)ethyl]pyrimidin-2-one
CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(CO)O)OC(=O)CCCCCCCCCCCCCCC	LHG	1,2-dipalmitoyl-phosphatidyl-glycerole
CC(=O)NC1=NC(=O)N(C=C1)C2C(C(C(O2)COP(=O)(O)O)O)OC	LHH	[(2~{r},3~{r},4~{r},5~{r})-5-(4-acetamido-2-oxidanylidene-pyrimidin-1-yl)-4-methoxy-3-oxidanyl-oxolan-2-yl]methyl dihydrogen phosphate
CC(C(=O)NCCOCCOCCNC(=O)CCCCC1C2C(CS1)NC(=O)N2)NC(=O)C(C)OC3C(C(OC(C3OC4C(C(C(C(O4)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C	LHI	[(2r,3r,4r,5s,6r)-4-[(2r)-1-[[(2s)-1-[2-[2-[2-[5-[(3as,4s,6ar)-2-oxidanylidene-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl]pentanoylamino]ethoxy]ethoxy]ethylamino]-1-oxidanylidene-propan-2-yl]amino]-1-oxidanylidene-propan-2-yl]oxy-3-acetamido-5-[(2s,3r,4r,5r,6r)-3-acetamido-6-(hydroxymethyl)-4,5-bis(oxidanyl)oxan-2-yl]oxy-6-(hydroxymethyl)oxan-2-yl] [oxidanyl(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate
Cc1ccc(cc1C2=Cc3cnn(c3N(C2=O)C)c4ccc(cc4F)F)C(=O)NC5CC5	LHJ	n-cyclopropyl-3-[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1h-pyrazolo[3,4-b]pyridin-5-yl]-4-methylbenzamide
CCN(CC)CCOc1ccc(cc1)Nc2ncc3c(n2)N(C(=O)N(C3)c4c(cccc4Cl)Cl)C	LHL	3-(2,6-dichlorophenyl)-7-({4-[2-(diethylamino)ethoxy]phenyl}amino)-1-methyl-3,4-dihydropyrimido[4,5-d]pyrimidin-2(1h)-one
c1cc(ccc1CNC(=O)c2cnn3c2CCCC3)F	LHM	n-[(4-fluorophenyl)methyl]-4,5,6,7-tetrahydropyrazolo[1,5-a]pyridine-3-carboxamide
Cc1ccc2c(c1)C=CN(C2=S)C3CC(C(O3)COP(=O)(O)O)O	LHO	2-(2-deoxy-5-o-phosphono-beta-d-erythro-pentofuranosyl)-6-methylisoquinoline-1(2h)-thione
CCC(=O)OC1CCC2(C(C1)CCC3C2CCC4(C3CCC4C(C)CCC(=O)O)C)C	LHP	(3beta,5beta,9beta)-3-(propanoyloxy)cholan-24-oic acid
CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC4=CCC=CCO4)O	LHQ	~{s}-[2-[3-[[(2~{r})-4-[[[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-4-oxidanyl-3-phosphonooxy-oxolan-2-yl]methoxy-oxidanyl-phosphoryl]oxy-oxidanyl-phosphoryl]oxy-3,3-dimethyl-2-oxidanyl-butanoyl]amino]propanoylamino]ethyl] 2-(2,5-dihydrooxepin-7-yl)ethanethioate
COCc1nc(no1)C(=O)NCc2ccc(cc2)F	LHS	n-[(4-fluorophenyl)methyl]-5-(methoxymethyl)-1,2,4-oxadiazole-3-carboxamide
CC1C(NC(=C1SC2CC(NC2)C(=O)Nc3cccc(c3)C(=O)O)C(=O)O)C(C(C)O)C(=O)O	LHT	hydrolysed ertapenem
C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O	LHU	l-uridine-5'-monophosphate
CC(C)C(C(=O)O)O	LHV	(2s)-2-hydroxy-3-methylbutanoic acid
O[Mo]123[O+]4[Mo]56(O[Mo]47(O[Mo]89([O+]1[Mo]1(O8)(O[Mo]48([O+]2[Mo](O4)(O5)(O[Mo]24(O6)([O+2]33[Mo](O7)(O9)(O2)(O[Mo]3(O8)(O1)(O4)O)O)O)(O)O)(O)O)(O)O)(O)O)(O)O)(O)O	LHW	mo(10)-o(35) cluster
c1ccc(cc1)CC(C(=O)O)NC(=O)NO	LHY	l-[(n-hydroxyamino)carbonyl]phenylalanine
Cc1cnc(nc1c2cn3c(n2)C(=O)N(C(C3)COC)Cc4ccc(c(c4)F)F)Nc5ccnn5C	LHZ	(6~{r})-7-[[3,4-bis(fluoranyl)phenyl]methyl]-6-(methoxymethyl)-2-[5-methyl-2-[(2-methylpyrazol-3-yl)amino]pyrimidin-4-yl]-5,6-dihydroimidazo[1,2-a]pyrazin-8-one
[Li+]	LI	lithium ion
CC(C)(CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)NC(=O)c3ccc(cc3)N4CCC(CC4)(Cc5ccccc5)OC	LI0	4-(4-benzyl-4-methoxypiperidin-1-yl)-n-[(4-{[1,1-dimethyl-2-(phenylthio)ethyl]amino}-3-nitrophenyl)sulfonyl]benzamide
CC(C)CCCCCCCC(C)CCCC(C)CCOC(CO)COCCC(C)CCCC(C)CCCC(C)CCCC(C)C	LI1	1-[2,6,10.14-tetramethyl-hexadecan-16-yl]-2-[2,10,14-trimethylhexadecan-16-yl]glycerol
c1cc2c(cc1NC(=O)c3cc(cc(c3)F)N4CCOCC4)c(c[nH]2)CCc5ccncc5	LI2	3-fluoro-5-morpholin-4-yl-n-[3-(2-pyridin-4-ylethyl)-1h-indol-5-yl]benzamide
c1cc2c(cc[nH]2)cc1NC(=O)c3cc(cc(c3)F)N4CCOCC4	LI3	3-fluoro-n-1h-indol-5-yl-5-morpholin-4-ylbenzamide
c1ccc2c(c1)cccc2COc3cccnc3N	LI4	3-(1-naphthylmethoxy)pyridin-2-amine
CCC(=O)C(=O)CC(COP(=O)O)O	LI5	2-hydroxy-4,5-dioxoheptyl hydrogen phosphonate
CN1c2ccccc2C(=C(C1=O)O)O	LI6	3,4-dihydroxy-1-methylquinolin-2(1h)-one
c1ccc2c(c1)C(=Nc3ccc(cc3)O)C(=O)N2	LI7	(3e)-3-[(4-hydroxyphenyl)imino]-1h-indol-2(3h)-one
CC(C)(C(=O)N)C(=O)NCCCNc1c(cnc(n1)Nc2cccc(c2)NC(=O)N3CCCC3)Br	LI8	n-(3-{[5-bromo-2-({3-[(pyrrolidin-1-ylcarbonyl)amino]phenyl}amino)pyrimidin-4-yl]amino}propyl)-2,2-dimethylmalonamide
CC(c1ccccc1)Nc2nccc(n2)C3=C(C(=O)N(N3C)C4CCNCC4)c5ccc(cc5)F	LI9	4-(4-fluorophenyl)-1-methyl-5-(2-{[(1s)-1-phenylethyl]amino}pyrimidin-4-yl)-2-piperidin-4-yl-1,2-dihydro-3h-pyrazol-3-one
COc1ccc(c(c1C(=O)c2cnc(nc2N)NC3CCN(CC3)S(=O)(=O)C)F)F	LIA	(4-amino-2-{[1-(methylsulfonyl)piperidin-4-yl]amino}pyrimidin-5-yl)(2,3-difluoro-6-methoxyphenyl)methanone
CC(C(C)(C)O)Nc1nccc(n1)N(c2ccc(cc2)OC)C(=O)Nc3ccccc3Cl	LIB	3-(2-chlorophenyl)-1-(2-{[(1s)-2-hydroxy-1,2-dimethylpropyl]amino}pyrimidin-4-yl)-1-(4-methoxyphenyl)urea
CC(C(C)(C)O)Nc1nccc(n1)N(c2ccc(cc2)OC)C(=O)NCc3ccccc3Cl	LIC	3-(2-chlorobenzyl)-1-(2-{[(1s)-2-hydroxy-1,2-dimethylpropyl]amino}pyrimidin-4-yl)-1-(4-methoxyphenyl)urea
CCn1c2c(cnc(n2)Nc3c(cccc3F)F)nc1Nc4ccccc4Cl	LID	8-(2-chlorophenylamino)-2-(2,6-difluorophenylamino)-9-ethyl-9h-purine-1,7-diium
CC(C)n1c2c(cnc(n2)Oc3c(cccc3F)F)nc1Nc4ccccc4F	LIE	2-(2,6-difluorophenoxy)-n-(2-fluorophenyl)-9-isopropyl-9h-purin-8-amine
COc1ccc(cc1)c2c(c3c(ncnc3o2)N)c4ccc(cc4)NC(=O)Nc5cc(ccc5F)C(F)(F)F	LIF	n-{4-[4-amino-6-(4-methoxyphenyl)furo[2,3-d]pyrimidin-5-yl]phenyl}-n'-[2-fluoro-5-(trifluoromethyl)phenyl]urea
c1ccc-2c(c1)Cc3c2n[nH]c3c4ccncc4	LIG	3-pyridin-4-yl-2,4-dihydro-indeno[1,2-.c.]pyrazole
Cc1c(cnc2c1c(nc(n2)N)N)CNc3cccc4c3cccn4	LIH	6-([5-quinolylamino]methyl)-2,4-diamino-5-methylpyrido[2,3-d]pyrimidine
Cc1c(cnc2c1c(nc(n2)N)N)C=Cc3cc(ccc3OC)OC	LII	(z)-6-(2-[2,5-dimethoxyphenyl]ethen-1-yl)-2,4-diamino-5-methylpyrido[2,3-d]pyrimidine
CCCC(CCC)S(=O)(=O)CC(C(=O)NC(Cc1ccccc1)C(CNCc2cccc(c2)OC)O)NC(=O)OCc3ccccc3	LIJ	benzyl [(1s)-2-({(1s,2r)-1-benzyl-2-hydroxy-3-[(3-methoxybenzyl)amino]propyl}amino)-2-oxo-1-{[(1-propylbutyl)sulfonyl]methyl}ethyl]carbamate
CCCCC(=C)CCC(=C)CC(=O)O	LIK	3,6-bis(methylene)decanoic acid
CCCCCCCCCCCCC(CC(=O)O)OC(=O)CCCCCCCCCCCC	LIL	2-tridecanoyloxy-pentadecanoic acid
CCCCCCCCCCCCC(=O)CC(=O)O	LIM	3-oxo-pentadecanoic acid
CC(=O)CC(=O)O	LIN	3-oxo-butyric acid
CCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC	LIO	[1-pentadecanoyl-2-decanoyl-glycerol-3-yl]phosphonyl choline
C1(C(C(C(C(C1O)O)OP(=O)([O-])[O-])O)O)O	LIP	l-myo-inositol-1-phosphate
CCCCCS(=O)(=O)CC(C(=O)NC(Cc1cc(cc(c1)F)F)C(CNCc2cccc(c2)CC)O)NC(=O)c3cccnc3	LIQ	n-{(1s)-2-({(1s,2r)-1-(3,5-difluorobenzyl)-3-[(3-ethylbenzyl)amino]-2-hydroxypropyl}amino)-2-oxo-1-[(pentylsulfonyl)methyl]ethyl}nicotinamide
CN1C(=O)c2c([n+](c([nH]2)N3CCCC(C3)N)Cc4ccccc4C#N)C1=O	LIR	2-[(3s)-3-aminopiperidin-1-yl]-1-(2-cyanobenzyl)-5-methyl-4,6-dioxo-3,4,5,6-tetrahydropyrrolo[3,4-d]imidazol-1-ium
C1C(O1)CC(C(=O)O)N	LIS	(2s,4s)-2-amino-4,5-epoxipentanoic acid
c1cc(oc1c2nnc(o2)SCC(=O)O)[N+](=O)[O-]	LIT	{[5-(5-nitro-2-furyl)-1,3,4-oxadiazol-2-yl]thio}acetic acid
CC1(CCN(CC1)c2ccc(cc2)C(=O)NS(=O)(=O)c3ccc(c(c3)[N+](=O)[O-])NC(C)(C)CSc4ccccc4)C	LIU	n-[(4-{[1,1-dimethyl-2-(phenylthio)ethyl]amino}-3-nitrophenyl)sulfonyl]-4-(4,4-dimethylpiperidin-1-yl)benzamide
C1C(C(C(C(C1N)OC2C(CC(C(O2)CO)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)OC5C(C(C(C(O5)CO)O)O)O)O)N)O)O)N	LIV	(2r,3s,4s,5s,6r)-2-((2s,3s,4r,5r,6r)-5-amino-2-(aminomethyl)-6-((2r,3s,4r,5s)-5-((1r,2r,3s,5r,6s)-3,5-diamino-2-((2s,3r
,5s,6r)-3-amino-5-hydroxy-6-(hydroxymethyl)-tetrahydro-2h-pyran-2-yloxy)-6-hydroxycyclohexyloxy)-4-hydroxy-2-(hydroxymet
hyl)-tetrahydrofuran-3-yloxy)-4-hydroxy-tetrahydro-2h-pyran-3-yloxy)-6-(hydroxymethyl)-tetrahydro-2h-pyran-3,4,5-triol
CC(C)(CSc1ccccc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)NC(=O)c3ccc(cc3)N4CCN(CC4)Cc5ccccc5c6ccccc6	LIW	4-[4-(biphenyl-2-ylmethyl)piperazin-1-yl]-n-[(4-{[1,1-dimethyl-2-(phenylthio)ethyl]amino}-3-nitrophenyl)sulfonyl]benzamide
CCc1c(c(nc(n1)N)NCCNS(=O)(=O)c2ccc3ccccc3c2)c4ccc5c(c4)N(C(=O)C(O5)(C)C)CCCOC	LIX	n-[2-({2-amino-6-ethyl-5-[4-(3-methoxypropyl)-2,2-dimethyl-3-oxo-3,4-dihydro-2h-1,4-benzoxazin-6-yl]pyrimidin-4-yl}amino)ethyl]naphthalene-2-sulfonamide
CCc1c(c(nc(n1)N)N)c2ccc3c(c2)N(C(CC3)c4ccccc4)CCCOC	LIY	6-ethyl-5-[(2s)-1-(3-methoxypropyl)-2-phenyl-1,2,3,4-tetrahydroquinolin-7-yl]pyrimidine-2,4-diamine
c1cc(ccc1CC(CN(CC(=O)O)C2CCCCC2N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O)NC(=S)NC(CO)(CO)CO	LIZ	n-{(1s,2s)-2-[bis(carboxymethyl)amino]cyclohexyl}-n-{(2r)-2-[bis(carboxymethyl)amino]-3-[4-({[2-hydroxy-1,1-bis(hydroxymethyl)ethyl]carbamothioyl}amino)phenyl]propyl}glycine
Cc1cc(cc(c1O)C)C=Cc2ccccc2	LJ1	2,6-dimethyl-4-[(e)-2-phenylethenyl]phenol
c1ccc(cc1)C=Cc2cc(c(c(c2)Br)O)Br	LJ2	2,6-dibromo-4-[(e)-2-phenylethenyl]phenol
c1ccc(cc1)c2cc(c(c(c2)Br)O)Br	LJ3	3,5-dibromobiphenyl-4-ol
c1ccc(cc1)Oc2cc(c(c(c2)Br)O)Br	LJ4	2,6-dibromo-4-phenoxyphenol
c1ccc(cc1)C(=O)Nc2cc(c(c(c2)Br)O)Br	LJ5	n-(3,5-dibromo-4-hydroxyphenyl)benzamide
CC(C)n1ccc(n1)C(=O)NCc2ccc(cc2)F	LJ7	n-[(4-fluorophenyl)methyl]-1-(propan-2-yl)-1h-pyrazole-3-carboxamide
CC(CCc1ccccc1)CCP(=O)(CC(CCC(=O)N)C(=O)O)O	LJ8	(2~{s})-5-azanyl-2-[[[(3~{s})-3-methyl-5-phenyl-pentyl]-oxidanyl-phosphoryl]methyl]-5-oxidanylidene-pentanoic acid
CCc1c2ccc(cc2n(n1)c3ccccc3)N4CC5CNCC5C4	LJ9	3-ethyl-6-[(3ar,6as)-hexahydropyrrolo[3,4-c]pyrrol-2(1h)-yl]-1-phenyl-1h-indazole
CC(=O)Nc1cccc(c1)NC(=O)N	LJA	n-[3-(carbamoylamino)phenyl]acetamide
O[Mo]12[O+]3[Mo]4(O[Mo]56([O+]4[Mo]78([O+2]15[Mo]9(O6)([O+]7[Mo]1(O9)([O+]2[Mo]2(O1)([O+]8[Mo]3(O2)(O)(O)O)(O)O)(O)O)(O)O)O)(O)O)(O)O	LJB	mo(8)-o(26) cluster
Cn1cc(cn1)C(=O)NCc2ccc(cc2)Cl	LJD	n-[(4-chlorophenyl)methyl]-1-methyl-1h-pyrazole-4-carboxamide
Cc1cc(ccc1Oc2c(cccn2)c3ccncn3)NC(=O)c4cccc(c4)C(F)(F)F	LJE	n-{3-methyl-4-[(3-pyrimidin-4-ylpyridin-2-yl)oxy]phenyl}-3-(trifluoromethyl)benzamide
C=Nc1ncc(c(n1)c2cccnc2Oc3ccc(cc3)NC(=O)c4ccccc4Nc5ccccc5)F	LJF	n-[4-({3-[5-fluoro-2-(methylideneamino)pyrimidin-4-yl]pyridin-2-yl}oxy)phenyl]-2-(phenylamino)benzamide
CC(C)CN(CCNCCN(CC(C)C)S(=O)(=O)c1ccc(cc1)N)S(=O)(=O)c2ccc(cc2)N	LJG	n,n'-(iminodiethane-2,1-diyl)bis[4-amino-n-(2-methylpropyl)benzenesulfonamide]
c1ccc(cc1)CN(CCNCCN(Cc2ccccc2)S(=O)(=O)c3ccc(cc3)N)S(=O)(=O)c4ccc(cc4)N	LJH	n,n'-(iminodiethane-2,1-diyl)bis(4-amino-n-benzylbenzenesulfonamide)
Cc1nnc(o1)NC2CCCCCC2	LJJ	n-cycloheptyl-5-methyl-1,3,4-oxadiazol-2-amine
CCc1cnc(s1)C(=O)NCc2ccc(cc2)F	LJM	5-ethyl-n-[(4-fluorophenyl)methyl]-1,3-thiazole-2-carboxamide
CC(=O)NCc1cn(nn1)C2C(C(C(O2)COP(=O)(O)O)O)O	LJN	[(2~{r},3~{s},4~{r},5~{r})-5-[4-(acetamidomethyl)-1,2,3-triazol-1-yl]-3,4-bis(oxidanyl)oxolan-2-yl]methyl dihydrogen phosphate
CC1(Cc2c(c(sc2C(O1)(C)C)NC(=O)c3cc[nH]n3)C(=O)N)C	LJP	n-(3-carbamoyl-5,5,7,7-tetramethyl-4,7-dihydro-5h-thieno[2,3-c]pyran-2-yl)-1h-pyrazole-3-carboxamide
CC1=C(C(=CN=C(C=CCP(=O)(O)O)C(=O)O)C(=CN1)COP(=O)(O)O)O	LJS	(2e,3z)-2-{[(z)-{3-hydroxy-2-methyl-5-[(phosphonooxy)methyl]pyridin-4(1h)-ylidene}methyl]imino}-5-phosphonopent-3-enoic acid
Cc1c(ccc(n1)NCC2=Cc3cc(ccc3NC2=O)Cl)C#N	LJV	6-{[(6-chloro-2-oxo-1,2-dihydroquinolin-3-yl)methyl]amino}-2-methylpyridine-3-carbonitrile
CC(C)Oc1ccc(c2c1sc(c2)C(=N)N)NC	LJW	4-(methylamino)-7-propan-2-yloxy-1-benzothiophene-2-carboximidamide
COc1cc(ccc1C#N)NCC2=Cc3cc(ccc3NC2=O)Cl	LJY	4-{[(6-chloro-2-oxo-1,2-dihydroquinolin-3-yl)methyl]amino}-2-methoxybenzonitrile
